HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_HF,HRV_LF,HRV_LFn,HRV_HFn,HRV_LFHF,stress_index
888.73291015625,940.588907278488,1315.393650364463,1325.9592250493436,1.0583482354818177,1.4800775748623969,777.34375,75.28828125,64.0625,82.8125,566.40625,8257.8125,12.8,234.375,0.0018778804818974087,0.029543843318534824,0.9392139482565026,0.059698784709238645,15.73254720059913,1.0
741.1491297468355,104.91587949670479,155.03332393536792,156.02737506629688,0.14155839261734324,0.20917966130288082,726.5625,63.705468749999994,59.49367088607595,77.21518987341773,515.625,984.375,9.875,195.3125,0.10662279300960138,0.033650989424657704,0.1861523198608354,0.5898215953862954,0.3156078402638302,1.0
772.5123355263158,118.89360221596979,187.45822017157806,188.71165607858242,0.15390511807810434,0.24266048780161162,751.953125,69.496875,57.89473684210527,75.0,515.625,1011.71875,12.666666666666666,242.1875,0.09853372215513524,0.0076428064700728195,0.058803373644402274,0.7581135677254602,0.07756538881216417,4.0
783.5115131578947,118.12173296210774,181.44576801835538,182.66293534841307,0.1507594093748864,0.2315802192708687,767.578125,86.87109375,59.210526315789465,77.63157894736842,515.625,1027.34375,15.2,203.125,0.10743540946392441,0.009447343093139434,0.06090557455903711,0.6926196367460701,0.08793509644798947,4.0
793.3382601351351,118.07980935949227,183.36647529057217,184.63543113230196,0.14883917150217724,0.23113277715780153,789.0625,83.97539062499999,62.16216216216216,79.72972972972973,515.625,1027.34375,14.8,257.8125,0.08843200610679747,0.003264341945818146,0.03035147129866723,0.8222304953904956,0.03691358015644097,4.0
798.3530405405405,125.03461418535753,201.02778724906236,202.41841875155802,0.15661569235172,0.2518031209763447,804.6875,95.55820312499999,67.56756756756756,83.78378378378379,515.625,1027.34375,18.5,265.625,0.09991019212617294,0.009935223193436121,0.0687643371692613,0.6915051634218733,0.09944153826557844,4.0
804.5819256756756,118.36058996479616,190.9946519794737,192.30553076775064,0.14710818897081082,0.23738372176218017,812.5,86.87109375,62.16216216216216,85.13513513513513,515.625,1027.34375,14.8,328.125,0.1178668573537995,0.012044405522329764,0.0671145940491708,0.6567851164165736,0.10218653311656745,4.0
808.9683219178082,111.99840175071417,174.59694602172414,175.82189719792007,0.1384459671859602,0.21582667861185215,824.21875,86.87109375,58.9041095890411,86.3013698630137,554.6875,1027.34375,14.6,281.25,0.11171310836684879,0.008905683759122908,0.05592498459831367,0.7015243336533057,0.0797192369751095,4.0
795.7136824324324,113.93849717435953,178.00157850850562,179.23245809467602,0.14319032045051525,0.22370053756568467,808.59375,81.07968749999999,58.108108108108105,87.83783783783784,554.6875,1027.34375,18.5,210.9375,0.11079459769055357,0.021761414197991037,0.13545015242698194,0.6896217777361661,0.1964122317477076,4.0
782.96875,111.46323371605182,175.7442951019297,176.9341508377664,0.14235974771158086,0.22445888817648177,781.25,86.87109375,53.333333333333336,80.0,554.6875,992.1875,18.75,15.625,0.09977739080944271,0.018357291657404476,0.12652028253731812,0.6876757155489885,0.18398247848015667,4.0
775.2364309210526,112.07682416068899,171.6499473553177,172.77908971954062,0.1445711523483634,0.22141625510475776,767.578125,95.55820312499999,50.0,77.63157894736842,562.5,1023.4375,12.666666666666666,164.0625,0.11268788043935099,0.02612053901249129,0.15042184965872954,0.6489421754161665,0.2317954593755045,4.0
789.7395833333334,113.54192495218163,156.45573448705912,157.523560663936,0.14377134861715277,0.19811053895347458,773.4375,110.03671874999999,52.0,76.0,562.5,1062.5,12.5,164.0625,0.09794379648431283,0.043572359269016744,0.20954601288234537,0.4710264117931654,0.444871046794633,4.0
796.2943412162163,108.38571226529079,144.61872006069913,145.61700172320636,0.1361126240075352,0.18161465249120876,806.640625,101.349609375,50.0,75.67567567567568,562.5,1062.5,12.333333333333334,164.0625,0.0463246168316952,0.02103192112794514,0.22472835608155242,0.4949835501647204,0.4540117666673315,4.0
792.3353040540541,108.23584830121368,146.14776536055697,147.1470969118253,0.1366035916201327,0.1844519165216783,789.0625,98.45390624999999,56.75675675675676,77.02702702702703,562.5,1062.5,12.333333333333334,171.875,0.04895341885703421,0.01580891366051214,0.1936673772214213,0.599704726058726,0.3229378872736388,4.0
795.0802364864865,106.13786274762356,138.8562121918805,139.77595471668144,0.13349327259932153,0.17464427591043583,785.15625,92.6625,55.4054054054054,75.67567567567568,570.3125,1062.5,14.8,164.0625,0.04327261161920505,0.02427341361316216,0.29205196934839606,0.5206458244251355,0.5609417297658376,4.0
806.0787671232877,112.10659587021725,154.25016873963736,155.2403359414421,0.13907647793564923,0.19135867985968819,808.59375,86.87109375,63.013698630136986,80.82191780821918,574.21875,1066.40625,14.6,187.5,0.07742189514152739,0.02767582142626583,0.24051179178146254,0.6728211761741263,0.3574676307738834,4.0
812.5,113.94049161470828,165.2307396359485,166.31449917660535,0.1402344512181025,0.2033609103211674,812.5,86.87109375,69.44444444444444,83.33333333333334,574.21875,1066.40625,14.4,242.1875,0.13141491307797948,0.016903017912126332,0.09620090445900831,0.7479275927663761,0.12862328571565051,4.0
804.0988869863014,110.70708698872708,177.01091407513383,178.25310279565693,0.13767844823619696,0.22013575312677852,808.59375,86.87109375,72.6027397260274,83.56164383561644,574.21875,1066.40625,14.6,242.1875,0.11476922855282969,0.01492769023141918,0.07784518619376017,0.5985006271904574,0.13006700854966347,4.0
